Starting week,Reached $20M,Reaching date,Weeks to $20M,Weeks observed,Total top-ups,Total capital incl. $600,Final balance,Catch-up top-ups,Flat $115 top-ups,Catch-up weeks,Flat weeks,Tax paid
2018-04-13,Yes,2021-07-02,166.0,166,82554.33425821917,83154.33425821917,20157092.44135822,40809.33425821917,41745.0,45,121,1793557.1189000001
2018-04-20,Yes,2021-09-03,174.0,174,84758.36191217146,85358.36191217146,20990533.85356217,39908.36191217146,44850.0,44,130,1742054.8553499999
2018-04-27,Yes,2021-09-03,173.0,173,84746.91033700618,85346.91033700618,20428110.435847014,41621.91033700618,43125.0,48,125,1694858.5144900004
2018-05-04,Yes,2021-11-05,181.0,181,87362.01793971882,87962.01793971882,25420299.617969718,41132.017939718826,46230.0,47,134,1648627.4279699998
2018-05-11,Yes,2021-11-05,180.0,180,85832.14313139034,86432.14313139034,24399096.575851385,41327.143131390345,44505.0,51,129,1581969.03428
2018-05-18,Yes,2021-11-05,179.0,179,84353.47541759849,84953.47541759849,23371967.029787596,39848.475417598485,44505.0,50,129,1514907.25463
2018-05-25,Yes,2021-11-05,178.0,178,83165.92872975927,83765.92872975927,22392612.740929764,38660.92872975927,44505.0,49,129,1450929.7597999999
2018-06-01,Yes,2021-11-05,177.0,177,82030.71033580418,82630.71033580418,21476192.107845806,36835.710335804186,45195.0,46,131,1391059.17349
2018-06-08,Yes,2021-11-05,176.0,176,81480.27614621003,82080.27614621003,20998648.363086212,35250.27614621004,46230.0,42,134,1359857.6400599997
2018-06-15,Yes,2021-11-05,175.0,175,79917.7055196677,80517.7055196677,20370846.038719665,33687.705519667696,46230.0,41,134,1319023.0577999996
2018-06-22,Yes,2022-04-29,199.0,199,100370.92088006478,100970.92088006478,22832845.655360073,52070.92088006478,48300.0,59,140,3679910.5585199995
2018-06-29,Yes,2022-04-29,198.0,198,99124.16440676057,99724.16440676057,21857688.64389675,50824.16440676057,48300.0,58,140,3522023.450510001
2018-07-06,Yes,2022-04-29,197.0,197,97802.67640306496,98402.67640306496,21286930.938693065,48122.676403064965,49680.0,53,144,3429742.859710001
2018-07-13,Yes,2022-04-29,196.0,196,96911.2471751818,97511.2471751818,20408614.915265188,48956.247175181794,47955.0,57,139,3287476.8979100003
2018-07-20,Yes,2022-05-06,196.0,196,96837.72428153202,97437.72428153202,24349264.781791534,49227.72428153203,47610.0,58,138,3149035.44649
2018-07-27,Yes,2022-05-06,195.0,195,95405.62623635335,96005.62623635335,23559087.615886346,47105.626236353346,48300.0,55,140,3046433.86835
2018-08-03,Yes,2022-05-06,194.0,194,93952.31317404003,94552.31317404003,22744061.540424034,45997.31317404003,47955.0,55,139,2940602.1697499994
2018-08-10,Yes,2022-05-06,193.0,193,93175.0190277895,93775.0190277895,21799912.82479779,45220.0190277895,47955.0,54,139,2817785.0852300003
