Starting week,Reached $20M,Reaching date,Weeks to $20M,Weeks observed,Total top-ups,Final balance
2018-04-13,Yes,2021-07-02,166.0,166,82554.33425821917,20157092.44135822
2018-04-20,Yes,2021-09-03,174.0,174,84758.36191217146,20990533.85356217
2018-04-27,Yes,2021-09-03,173.0,173,84746.91033700618,20428110.435847014
2018-05-04,Yes,2021-11-05,181.0,181,87362.01793971882,25420299.617969718
2018-05-11,Yes,2021-11-05,180.0,180,85832.14313139034,24399096.575851385
2018-05-18,Yes,2021-11-05,179.0,179,84353.47541759849,23371967.029787596
2018-05-25,Yes,2021-11-05,178.0,178,83165.92872975927,22392612.740929764
2018-06-01,Yes,2021-11-05,177.0,177,82030.71033580418,21476192.107845806
2018-06-08,Yes,2021-11-05,176.0,176,81480.27614621003,20998648.363086212
2018-06-15,Yes,2021-11-05,175.0,175,79917.7055196677,20370846.038719665
2018-06-22,Yes,2022-04-29,199.0,199,100370.92088006478,22832845.655360073
2018-06-29,Yes,2022-04-29,198.0,198,99124.16440676057,21857688.64389675
2018-07-06,Yes,2022-04-29,197.0,197,97802.67640306496,21286930.938693065
2018-07-13,Yes,2022-04-29,196.0,196,96911.2471751818,20408614.915265188
2018-07-20,Yes,2022-05-06,196.0,196,96837.72428153202,24349264.781791534
2018-07-27,Yes,2022-05-06,195.0,195,95405.62623635335,23559087.615886346
2018-08-03,Yes,2022-05-06,194.0,194,93952.31317404003,22744061.540424034
2018-08-10,Yes,2022-05-06,193.0,193,93175.0190277895,21799912.82479779
2018-08-17,Yes,2022-05-06,192.0,192,92221.13314621004,20869344.17669621
2018-08-24,Yes,2022-05-20,193.0,193,93363.31436919983,21026723.4015392
2018-08-31,Yes,2022-05-20,192.0,192,92670.06559924406,20174740.170609243
2018-09-07,Yes,2022-08-05,202.0,202,102700.19079187182,21133196.261681866
2018-09-14,Yes,2022-08-05,201.0,201,101829.07417404003,20221376.319884043
2018-09-21,Yes,2022-08-19,202.0,202,103450.41926505012,22593878.66247505
2018-09-28,Yes,2022-08-19,201.0,201,102614.91919622022,21578857.90779622
2018-10-05,Yes,2022-08-19,200.0,200,101722.99768537818,20528551.790145375
