idea_id,description,final_balance,cagr_percent,daily_drawdown,closed_drawdown,dd_improvement_pp,cagr_change_pp,cagr_retention,trades,days_in_position,structural_exits
1,OR15 entry-0.50% persist-1m slow-30m/-0.75%,400466770.1938099,258.30399895123804,0.81819020596521,0.81819020596521,2.8533510953729246,-592.9128459614155,0.303452640176245,376,915,123
2,OR15 entry-0.50% persist-1m slow-30m/-1.00%,11133344885.232744,434.74728331841976,0.6639469698477882,0.6237533217397565,18.2776747071151,-416.4695615942339,0.5107362312161841,376,1031,73
3,OR15 entry-0.50% persist-1m slow-30m/-1.25%,73287883598.93503,570.9698172978038,0.7803662835575484,0.7340123547769564,6.635743336139077,-280.2470276148498,0.6707689359183124,376,1108,38
4,OR15 entry-0.50% persist-1m slow-30m/-1.50%,397168245535.02734,722.405509222272,0.801891488375793,0.801891488375793,4.483222854314617,-128.8113356903816,0.8486738879050268,376,1149,17
5,OR15 entry-0.50% persist-1m slow-45m/-0.75%,39675814.322330035,171.2331512290565,0.7722996105987615,0.7523015976956913,7.44241063201777,-679.9836936835972,0.20116278507931468,376,839,152
6,OR15 entry-0.50% persist-1m slow-45m/-1.00%,1581163185.82262,322.7394188912685,0.6325337483545257,0.6325337483545257,21.418996856441353,-528.4774260213851,0.37915064865097436,376,972,97
7,OR15 entry-0.50% persist-1m slow-45m/-1.25%,8740730701.053427,419.3915280711765,0.7259997488197274,0.7259997488197274,12.072396809921182,-431.82531684147716,0.49269646222075375,376,1055,62
8,OR15 entry-0.50% persist-1m slow-45m/-1.50%,307395142150.4193,697.4174146912911,0.7101062770072282,0.7101062770072282,13.661743991171104,-153.7994302213625,0.8193181547797678,376,1122,33
9,OR15 entry-0.50% persist-1m slow-60m/-0.75%,46008168.043789975,176.11310424260586,0.7505935296233264,0.7286891585951634,9.613018729561285,-675.1037406700477,0.2068956991337236,376,823,160
10,OR15 entry-0.50% persist-1m slow-60m/-1.00%,589300205.62078,275.36598748817636,0.6631179725571904,0.661777081428206,18.360574436174883,-575.8508574244772,0.32349687289897633,376,953,107
11,OR15 entry-0.50% persist-1m slow-60m/-1.25%,15167560627.045683,455.0346638897297,0.7379472644260171,0.7379472644260171,10.877645249292211,-396.18218102292394,0.5345696183167316,376,1027,74
12,OR15 entry-0.50% persist-1m slow-60m/-1.50%,1124559869388.9568,832.2188123293554,0.6716658464166596,0.6716658464166596,17.505787050227962,-18.998032583298254,0.9776813244511771,376,1110,38
13,OR15 entry-0.50% persist-3m slow-30m/-0.75%,1503085415.7787805,320.1692779502829,0.6888964011932073,0.6615734185690239,15.782731572573194,-531.0475669623708,0.3761312759067128,376,925,119
14,OR15 entry-0.50% persist-3m slow-30m/-1.00%,17527634109.922012,464.7854997077174,0.6602461426628015,0.6283132511914046,18.647757425613776,-386.43134520493624,0.5460247908456402,376,1034,72
15,OR15 entry-0.50% persist-3m slow-30m/-1.25%,70879826607.85593,568.2757668779087,0.7803606260419103,0.7340055032366427,6.636309087702896,-282.9410780347449,0.6676039957083104,376,1108,38
16,OR15 entry-0.50% persist-3m slow-30m/-1.50%,384052314044.0665,719.0864776120479,0.8018848193396743,0.8018848193396743,4.483889757926496,-132.1303673006057,0.8447747268039978,376,1149,17
17,OR15 entry-0.50% persist-3m slow-45m/-0.75%,46014132.12089001,176.11741424485768,0.7738621576788189,0.7540013770253325,7.286155924012028,-675.099430667796,0.20690076247601716,376,847,151
18,OR15 entry-0.50% persist-3m slow-45m/-1.00%,1422810178.2656996,317.4013259550493,0.6356933305777346,0.6356933305777346,21.103038634120463,-533.8155189576044,0.3728795169550703,376,974,97
19,OR15 entry-0.50% persist-3m slow-45m/-1.25%,8143926036.830681,414.98694598517307,0.7261265548294462,0.7261265548294462,12.0597162089493,-436.2298989274806,0.4875220085990619,376,1057,61
20,OR15 entry-0.50% persist-3m slow-45m/-1.50%,288951137506.23676,691.4976988872925,0.7168982536767555,0.7168982536767555,12.982546324218369,-159.71914602536117,0.8123637390637511,376,1122,33
21,OR15 entry-0.50% persist-3m slow-60m/-0.75%,40703399.54690999,172.06961330995142,0.7508765233358488,0.7289970065116218,9.584719358309046,-679.1472316027023,0.20214545134807346,376,825,159
22,OR15 entry-0.50% persist-3m slow-60m/-1.00%,512616886.1199801,269.1170514924927,0.6953924487903684,0.6903699873781247,15.133126812857078,-582.099793420161,0.3161556929951354,376,954,107
23,OR15 entry-0.50% persist-3m slow-60m/-1.25%,12816911375.25233,443.89283820560433,0.7374995088847326,0.7374995088847326,10.922420803420662,-407.3240067070493,0.5214803264979486,376,1028,74
24,OR15 entry-0.50% persist-3m slow-60m/-1.50%,713098632090.9092,782.4586409257412,0.6753587597665465,0.6753587597665465,17.136495715239274,-68.75820398691246,0.9192236333222846,376,1110,38
25,OR15 entry-0.50% persist-5m slow-30m/-0.75%,2780052065.953241,352.4654170812447,0.6876893928566699,0.6602604035262544,15.903432406226937,-498.75142783140893,0.4140724178424975,376,938,114
26,OR15 entry-0.50% persist-5m slow-30m/-1.00%,18732431617.915436,469.32497169281027,0.6600418292938852,0.5867875678124214,18.6681887625054,-381.8918732198434,0.5513577116075157,376,1038,70
27,OR15 entry-0.50% persist-5m slow-30m/-1.25%,79308155390.96266,577.3790234054114,0.7823466301685701,0.7364106556404264,6.437708675036912,-273.8378215072422,0.6782983993516462,376,1110,37
28,OR15 entry-0.50% persist-5m slow-30m/-1.50%,378312911098.18085,717.6026452160933,0.8018856768661125,0.8018856768661125,4.483804005282677,-133.61419969656038,0.8430315371516514,376,1149,17
29,OR15 entry-0.50% persist-5m slow-45m/-0.75%,39199997.414150015,170.83936045801056,0.7734694225986786,0.7535741495966249,7.3254294320260644,-680.3774844546431,0.2007001640992443,376,847,151
30,OR15 entry-0.50% persist-5m slow-45m/-1.00%,1185946781.7721004,308.3481725925443,0.6412072061386825,0.6412072061386825,20.551651078025667,-542.8686723201093,0.3622439739478899,376,974,97
31,OR15 entry-0.50% persist-5m slow-45m/-1.25%,6528493270.142319,401.45638728396983,0.7807179132665013,0.7807179132665013,6.6005803652437915,-449.7604576286838,0.47162646002989367,376,1057,61
32,OR15 entry-0.50% persist-5m slow-45m/-1.50%,231446747849.3141,670.6268894449482,0.7133069096064848,0.7133069096064848,13.341680731245443,-180.5899554677054,0.787844946270728,376,1122,33
33,OR15 entry-0.50% persist-5m slow-60m/-0.75%,59127126.55575003,184.58188338202746,0.7475462726953036,0.7253742733002071,9.917744422363562,-666.6349615306262,0.2168447258594466,376,829,158
34,OR15 entry-0.50% persist-5m slow-60m/-1.00%,480547826.31207025,266.25663827123685,0.7080654784843965,0.7032519738178464,13.865823843454272,-584.9602066414168,0.3127953116324412,376,954,107
35,OR15 entry-0.50% persist-5m slow-60m/-1.25%,8058524954.358931,414.33359854817047,0.7372756311140903,0.7372756311140903,10.944808580484889,-436.88324636448317,0.4867544633596704,376,1030,73
36,OR15 entry-0.50% persist-5m slow-60m/-1.50%,605481306620.4735,765.2437924735674,0.6840632705832284,0.6840632705832284,16.266044633571084,-85.97305243908625,0.8989998224859985,376,1110,38
37,OR15 entry-0.50% persist-10m slow-30m/-0.75%,3535372809.4993095,365.75266246645606,0.6505339826766343,0.644771881310706,19.61897342423049,-485.4641824461976,0.4296821246576567,376,948,109
38,OR15 entry-0.50% persist-10m slow-30m/-1.00%,20740185954.195152,476.34844481223064,0.6262531387939321,0.5997538113012436,22.047057812500714,-374.868400100423,0.559608809035153,376,1042,67
39,OR15 entry-0.50% persist-10m slow-30m/-1.25%,172884702350.30588,644.0246313764428,0.7126885199822669,0.6520511274256551,13.403519693667231,-207.19221353621083,0.7565929119301303,376,1113,34
40,OR15 entry-0.50% persist-10m slow-30m/-1.50%,134742580502.0499,622.0236008383106,0.8210468735646151,0.820363185358678,2.5676843354324075,-229.19324407434306,0.730746348073197,376,1151,16
41,OR15 entry-0.50% persist-10m slow-45m/-0.75%,50903780.72085997,179.4958577974033,0.8437905778814843,0.8300713302011364,0.2933139037454957,-671.7209871152504,0.21086972006037075,376,859,147
42,OR15 entry-0.50% persist-10m slow-45m/-1.00%,1183901205.3757298,308.26329017881983,0.6446998007031495,0.6446998007031495,20.202391621578975,-542.9535547338338,0.3621442550405024,376,979,95
43,OR15 entry-0.50% persist-10m slow-45m/-1.25%,15926749511.896788,458.3087496860966,0.7436504880627186,0.739423719794369,10.30732288562206,-392.90809522655707,0.5384159775798671,376,1069,57
44,OR15 entry-0.50% persist-10m slow-45m/-1.50%,319593238949.6197,701.1630718659856,0.7404079718454569,0.7404079718454569,10.63157450734823,-150.05377304666808,0.823718510807824,376,1123,31
45,OR15 entry-0.50% persist-10m slow-60m/-0.75%,87692458.92370997,198.41496195112592,0.6805825794094812,0.6805825794094812,16.6141137509458,-652.8018829615278,0.23309567137558934,376,836,155
46,OR15 entry-0.50% persist-10m slow-60m/-1.00%,344645226.64723,251.88505117740468,0.7216706553528515,0.7170814769564717,12.505306156608775,-599.331793735249,0.2959117323427164,376,955,106
47,OR15 entry-0.50% persist-10m slow-60m/-1.25%,8175232402.218282,415.2249415702781,0.7394397828969655,0.7394397828969655,10.728393402197367,-435.99190334237556,0.48780160314248217,376,1032,71
48,OR15 entry-0.50% persist-10m slow-60m/-1.50%,396234572156.9691,722.1724518588045,0.7084243343955838,0.7084243343955838,13.829938252335538,-129.04439305384915,0.8484000947289867,376,1111,36
49,OR15 entry-0.50% persist-15m slow-30m/-0.75%,1982771627.2192016,334.4199656727641,0.7109509805382995,0.7061850529021386,13.57727363806397,-516.7968792398896,0.3928728239712879,376,955,106
50,OR15 entry-0.50% persist-15m slow-30m/-1.00%,7350349899.200659,408.6678864203943,0.6685527056928675,0.6375035553443598,17.81710112260717,-442.5489584922593,0.4800984483129316,376,1044,66
