idea_id,description,final_balance,cagr_percent,daily_drawdown,closed_drawdown,dd_improvement_pp,cagr_change_pp,cagr_retention,trades,days_in_position,structural_exits
1,OR5 entry-0.50% persist-1m slow-90m/-0.75%,68867169.04435001,189.85598437353644,0.7536539224147855,0.7320183334238117,9.306979450415376,-661.3608605391172,0.22304068053660078,376,815,165
2,OR5 entry-0.50% persist-1m slow-90m/-1.00%,221104720.64116,233.5696259935819,0.8407901180312354,0.8268073519837993,0.5933598887703839,-617.6472189190717,0.27439497630894427,376,911,129
3,OR5 entry-0.50% persist-1m slow-90m/-1.25%,4301072615.094659,376.87909937365885,0.7824125335742863,0.7223237052574312,6.431118334465291,-474.3377455389948,0.4427533379139504,376,998,89
4,OR5 entry-0.50% persist-1m slow-90m/-1.50%,113472861825.21387,607.2392291335328,0.6509343069965797,0.6492914708862825,19.57894099223595,-243.9776157791208,0.7133778340533707,376,1059,57
5,OR5 entry-0.50% persist-3m slow-90m/-0.75%,79144008.78066005,194.7518084843711,0.7602776995724031,0.739223850390542,8.644601734653612,-656.4650364282825,0.22879223977805008,376,819,164
6,OR5 entry-0.50% persist-3m slow-90m/-1.00%,220599476.52810988,233.47774334058298,0.8407886592736736,0.8268057651094054,0.5935057645265585,-617.7391015720707,0.27428703359898965,376,911,129
7,OR5 entry-0.50% persist-3m slow-90m/-1.25%,4289147618.2762394,376.71968522453386,0.7829997348118722,0.7230855237088993,6.372398210706698,-474.4971596881198,0.4425660599599511,376,998,89
8,OR5 entry-0.50% persist-3m slow-90m/-1.50%,111977368483.9399,606.1102223255497,0.6509382880790299,0.6436393965784886,19.578542883990934,-245.10662258710397,0.712051489521151,376,1059,57
9,OR5 entry-0.50% persist-5m slow-90m/-0.75%,68427797.99757998,189.6326630777482,0.7622934932871392,0.7414166831908202,8.443022363179997,-661.5841818349054,0.22277832518364585,376,819,164
10,OR5 entry-0.50% persist-5m slow-90m/-1.00%,210658258.20784006,231.63112049197105,0.8407555818775304,0.8267697826580859,0.5968135041408806,-619.5857244206826,0.2721176417928378,376,911,129
11,OR5 entry-0.50% persist-5m slow-90m/-1.25%,4001412718.5473704,372.7498857526557,0.7891844577259243,0.7309731414465144,5.753925919301494,-478.46695915999794,0.4379023840757109,376,998,89
12,OR5 entry-0.50% persist-5m slow-90m/-1.50%,106837226324.74812,602.1258493894994,0.6536384543211222,0.6536384543211222,19.3085262597817,-249.09099552315422,0.7073706928946943,376,1059,57
13,OR5 entry-0.50% persist-10m slow-90m/-0.75%,75811168.10323,193.22865279258585,0.7579169705131656,0.736655787956463,8.880674640577357,-657.9881921200678,0.22700285355891156,376,824,162
14,OR5 entry-0.50% persist-10m slow-90m/-1.00%,359427272.8357399,253.669143719384,0.7943158559708181,0.7943158559708181,5.240786094812111,-597.5477011932696,0.29800766424613445,376,917,127
15,OR5 entry-0.50% persist-10m slow-90m/-1.25%,3284869238.47966,361.64890710823477,0.7886695002195223,0.7302989303906442,5.8054216699416905,-489.5679378044189,0.424861078900929,376,998,89
16,OR5 entry-0.50% persist-10m slow-90m/-1.50%,120482575630.69063,612.3627533117934,0.650937484692889,0.6488416299640156,19.578623222605017,-238.85409160086022,0.7193968927795715,376,1059,56
17,OR5 entry-0.50% persist-15m slow-90m/-0.75%,168131801.1916101,222.74720350287907,0.7723168844043469,0.7523203885904125,7.440683251459235,-628.4696414097746,0.2616809157785593,376,824,159
18,OR5 entry-0.50% persist-15m slow-90m/-1.00%,768019455.3242397,287.53218170269224,0.7943165661244197,0.7943165661244197,5.240715079451952,-563.6846632099614,0.33778958137535087,376,917,125
19,OR5 entry-0.50% persist-15m slow-90m/-1.25%,5151492978.336979,387.3535559426979,0.7952537634019071,0.7387130860334643,5.146995351703209,-463.86328896995576,0.4550586119832316,376,998,88
20,OR5 entry-0.50% persist-15m slow-90m/-1.50%,130565203951.26666,619.2905068282622,0.6623540081092688,0.6623540081092688,18.436970880967042,-231.92633808439143,0.7275355398914948,376,1059,56
21,OR5 entry-1.00% persist-1m slow-90m/-0.75%,85625894.66509004,197.55918813536053,0.7392875683709943,0.7392875683709943,10.743614854794492,-653.6576567772931,0.23209031789735407,376,933,121
22,OR5 entry-1.00% persist-1m slow-90m/-1.00%,997346929.1153905,299.9194971725059,0.748497053527071,0.748497053527071,9.822666339186824,-551.2973477401478,0.35234206062179335,376,986,95
23,OR5 entry-1.00% persist-1m slow-90m/-1.25%,2061273075.395549,336.4559700429808,0.7667422252620234,0.7593315656158969,7.998149165691581,-514.7608748696728,0.39526469906443845,376,1025,72
24,OR5 entry-1.00% persist-1m slow-90m/-1.50%,166174533032.2176,640.4862543886588,0.6586571791107233,0.6586571791107233,18.80665378082159,-210.7305905239948,0.7524360663402772,376,1072,48
25,OR5 entry-1.00% persist-3m slow-90m/-0.75%,74040450.93101,192.39529128999044,0.7392593963522844,0.7392593963522844,10.746432056665478,-658.8215536226633,0.22602382981475513,376,933,121
26,OR5 entry-1.00% persist-3m slow-90m/-1.00%,992053971.7698699,299.6633158447224,0.7486515963246957,0.7486515963246957,9.807212059424353,-551.5535290679313,0.35204110167189173,376,986,95
27,OR5 entry-1.00% persist-3m slow-90m/-1.25%,2059929017.6390698,336.4216889751778,0.7667422242207547,0.7593315645415467,7.998149269818455,-514.7951559374758,0.39522442605056674,376,1025,72
28,OR5 entry-1.00% persist-3m slow-90m/-1.50%,159994636720.828,637.1145185613965,0.6624978326943669,0.6624978326943669,18.42258842245723,-214.10232635125715,0.7484749889163355,376,1072,48
29,OR5 entry-1.00% persist-5m slow-90m/-0.75%,68914631.05867001,189.88003306991737,0.7395571653578628,0.7395571653578628,10.716655156107645,-661.3368118427363,0.22306893267531805,376,933,121
30,OR5 entry-1.00% persist-5m slow-90m/-1.00%,985637940.1466897,299.3511603846621,0.7489273129917429,0.7489273129917429,9.779640392719635,-551.8656845279916,0.3516743849393389,376,986,95
31,OR5 entry-1.00% persist-5m slow-90m/-1.25%,2008687501.6160696,335.0998368023552,0.7667422237301079,0.759331564035312,7.998149318883129,-516.1170081102985,0.39367152894717555,376,1025,72
32,OR5 entry-1.00% persist-5m slow-90m/-1.50%,156453506959.04114,635.1305070919034,0.6628914047896189,0.6628914047896189,18.383231212932028,-216.08633782075026,0.7461441944996711,376,1072,48
33,OR5 entry-1.00% persist-10m slow-90m/-0.75%,55498327.94802,182.4195833734525,0.7383989820960057,0.736366582560311,10.832473482293349,-668.7972615392011,0.2143044800672045,376,934,121
34,OR5 entry-1.00% persist-10m slow-90m/-1.00%,1281543358.6294215,312.1781892059495,0.7448954977749139,0.7448954977749139,10.18282191440253,-539.0386557067042,0.36674343449815444,376,989,94
35,OR5 entry-1.00% persist-10m slow-90m/-1.25%,1764079843.328969,328.3490501773803,0.7667422317400285,0.7593315722997099,7.998148517891068,-522.8677947352733,0.38574078055407063,376,1025,72
36,OR5 entry-1.00% persist-10m slow-90m/-1.50%,131031767329.77101,619.5995455705744,0.6670696249917927,0.6670696249917927,17.965409192714652,-231.61729934207926,0.727898595139002,376,1072,48
37,OR5 entry-1.00% persist-15m slow-90m/-0.75%,70856128.18140998,190.85150508966836,0.7478672165701412,0.7449766319917798,9.8856500348798,-660.3653398229853,0.2242102071056316,376,937,120
38,OR5 entry-1.00% persist-15m slow-90m/-1.00%,1274939698.963241,311.9218414179781,0.7446138380244145,0.7446138380244145,10.210987889452472,-539.2950034946755,0.3664422799926915,376,989,94
39,OR5 entry-1.00% persist-15m slow-90m/-1.25%,1904218385.1528704,332.31036677475123,0.7667422213629163,0.759331561592914,7.998149555602296,-518.9064781379025,0.3903944908525051,376,1025,72
40,OR5 entry-1.00% persist-15m slow-90m/-1.50%,145708643554.43967,628.858794226909,0.6680267319796231,0.6680267319796231,17.869698493931608,-222.35805068574462,0.738776256585287,376,1072,48
41,OR5 entry-1.50% persist-1m slow-90m/-0.75%,445776384.41412026,262.95884342285694,0.780986381494494,0.7740282623645567,6.5737335424445265,-588.2580014897967,0.3089210992409814,376,1026,84
42,OR5 entry-1.50% persist-1m slow-90m/-1.00%,1954371630.7845602,333.6658914410206,0.80066072082186,0.794327660525144,4.60629960970792,-517.550953471633,0.3919869460234416,376,1055,67
43,OR5 entry-1.50% persist-1m slow-90m/-1.25%,3701280561.667457,368.33193390622444,0.7702803761258306,0.7629821244449166,7.644334079310866,-482.8849110064292,0.43271222380945745,376,1073,55
44,OR5 entry-1.50% persist-1m slow-90m/-1.50%,92467632671.76517,590.0181686416056,0.7059096636819687,0.6755959361811709,14.08140532369705,-261.19867627104804,0.6931467253824722,376,1103,37
45,OR5 entry-1.50% persist-3m slow-90m/-0.75%,388127300.9661998,256.9561263405483,0.7844539280656101,0.7776059737843022,6.226978885332912,-594.2607185721054,0.30186917455435863,376,1026,84
46,OR5 entry-1.50% persist-3m slow-90m/-1.00%,1892990987.7235096,332.0026198188663,0.801621254444651,0.7953187105487932,4.510246247428817,-519.2142250937873,0.39003295318120057,376,1055,67
47,OR5 entry-1.50% persist-3m slow-90m/-1.25%,3600560470.334062,366.77854308310066,0.7702803803115605,0.7629821287636283,7.644333660737868,-484.438301829553,0.4308873176972163,376,1073,55
48,OR5 entry-1.50% persist-3m slow-90m/-1.50%,89975456686.1553,587.7516384759715,0.7059096636819687,0.6755959361811709,14.08140532369705,-263.46520643668214,0.6904840311710264,376,1103,37
49,OR5 entry-1.50% persist-5m slow-90m/-0.75%,365678952.18845004,254.4043190288577,0.782596294835596,0.7762285464282066,6.412742208334321,-596.812525883796,0.29887133995211645,376,1026,84
