rank,open_date,close_date,close_time,exit_type,open_price,close_price,price_return_percent,account_return_percent,leverage
1,20201109,20201110,1001,SL,12193.679,11532.329,-5.423,-72.30655133154772,8
2,20220627,20220630,4,TSL1PRE,12152.729,11657.109,-4.077999999999999,-54.37327705512023,10
3,20260608,20260611,4,TSL1PRE,29483.816,28413.658,-3.6290000000000004,-48.38666666570555,10
4,20240415,20240418,4,TSL1PRE,18163.599,17523.419,-3.524,-46.98666182457446,10
5,20221205,20221208,4,TSL1PRE,11903.789,11487.419,-3.497,-46.626608441857506,8
6,20210125,20210128,4,TSL1PRE,13506.987,13047.927,-3.398,-45.30624686814977,8
7,20201026,20201029,4,TSL1PRE,11587.689,11198.399,-3.359,-44.786259917635775,10
8,20210503,20210506,4,TSL1PRE,13926.877,13499.447,-3.069,-40.91986306347148,8
9,20220222,20220224,4,TSL1PRE,13890.319,13490.029,-2.881,-38.41331938289271,8
10,20240715,20240718,4,TSL1PRE,20400.732,19839.031,-2.753,-36.706664964342764,8
11,20220711,20220714,4,TSL1PRE,12020.789,11696.679,-2.696,-35.946599621391606,10
12,20251215,20251218,4,TSL1PRE,25393.761,24751.786,-2.528,-33.70666666127353,10
13,20230731,20230803,4,TSL1PRE,15755.189,15364.739,-2.478,-33.03999657653349,8
14,20260622,20260625,4,TSL1PRE,30513.62,29785.014,-2.387,-31.826666664069393,8
15,20250224,20250227,4,TSL1PRE,21686.289,21177.865,-2.344,-31.253333217490987,10
16,20211122,20211126,934,TSL3,16638.729,16249.559,-2.338,-31.173302334167474,8
17,20200713,20200716,4,TSL1PRE,10949.02,10700.5,-2.2689999999999997,-30.25239643476335,8
18,20240429,20240502,4,TSL1PRE,17793.753,17394.108,-2.245,-29.93332917832513,8
19,20211108,20211111,4,TSL1PRE,16356.807,15995.309,-2.21,-29.466617146390263,8
20,20221010,20221013,4,TSL1PRE,11052.229,10809.509,-2.196,-29.279975170922857,8
