rank,open_date,close_date,close_time,exit_type,open_price,close_price,price_return_percent,account_return_percent,leverage
1,20240415,20240418,4,TSL1PRE,18163.599,17523.419,-3.524,-46.986663015875166,10
2,20210503,20210506,4,TSL1PRE,13926.877,13499.447,-3.069,-40.91983448628478,8
3,20201109,20201109,1323,STRUCTURAL_EXIT,12193.679,11834.319,-2.947,-39.292852693857725,8
4,20221010,20221011,1266,STRUCTURAL_EXIT,11052.229,10747.677,-2.7550000000000003,-36.733300604393534,8
5,20240715,20240718,4,TSL1PRE,20400.732,19839.031,-2.753,-36.70666533742949,8
6,20200526,20200527,954,STRUCTURAL_EXIT,9562.16,9308.19,-2.6550000000000002,-35.39474046709095,8
7,20250818,20250820,991,STRUCTURAL_EXIT,23679.621,23050.899,-2.6550000000000002,-35.399999992057474,8
8,20251215,20251218,4,TSL1PRE,25393.761,24751.786,-2.528,-33.70666665999417,10
9,20240429,20240501,1319,STRUCTURAL_EXIT,17793.753,17345.01,-2.521,-33.61332747742271,8
10,20230731,20230803,4,TSL1PRE,15755.189,15364.739,-2.478,-33.039966041933944,8
11,20221205,20221206,970,STRUCTURAL_EXIT,11903.789,11619.089,-2.391,-31.879878323724885,8
12,20260622,20260625,4,TSL1PRE,30513.62,29785.014,-2.387,-31.826666664326563,8
13,20200420,20200421,995,STRUCTURAL_EXIT,8747.21,8541.2,-2.355,-31.39160645734367,8
14,20211122,20211126,934,TSL3,16638.729,16249.559,-2.338,-31.173126030266797,8
15,20211108,20211111,4,TSL1PRE,16356.807,15995.309,-2.21,-29.46655074562743,8
16,20220118,20220120,4,TSL1PRE,15355.849,15051.899,-1.9789999999999999,-26.386513514106746,10
17,20181217,20181218,1273,STRUCTURAL_EXIT,6570.67,6444.359,-1.9220000000000002,-25.528735517366673,8
18,20220307,20220307,993,STRUCTURAL_EXIT,13832.309,13579.359,-1.828,-24.373147749258717,8
19,20251103,20251106,4,TSL1PRE,26099.055,25629.069,-1.7999999999999998,-23.99999999651993,8
20,20190812,20190815,4,TSL1PRE,7602.37,7465.659,-1.798,-23.954434414939474,10
